#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6,1257,17,KB0G,-0.3,3,   boost,0,83103,1641.02,1.37,0,33,4.2,4.17,4.16,9.9,0.32,0.08,-0.02,-0.2,-0.02,-0.05,-0.47,-0.03,1.87,4.18,0,0.01,0.01,0.01,1,1,13,40.8858039,-104.6377364,1671,2019,5,4,20,26,19,0,0,0,0,1.2,0.7,1,41,0,43,0,0,43,0,0,0,0,0,0,36,0,36,0,40,31,36,0,0,34,0,36,0,0,0,0,0,0,0,0
6,1257,17,KB0G,-0.29,3,   boost,-0.53,83123,1639.06,-0.59,0,33,4.2,4.17,4.16,9.9,0.32,-0.02,0.1,0.05,0.28,-0.05,-0.47,-0.04,1.87,4.18,0,0.01,0.01,0.01,1,1,13,40.8858039,-104.6377364,1671,2019,5,4,20,26,19,0,0,0,0,1.2,0.7,1,41,0,43,0,0,43,0,0,0,0,0,0,36,0,36,0,40,31,36,0,0,34,0,36,0,0,0,0,0,0,0,0
6,1257,17,KB0G,-0.28,3,   boost,0,83106,1640.72,1.08,0,33,4.2,4.17,4.16,9.87,0.3,0.04,-0.14,0.05,0.04,-0.05,-0.47,-0.03,1.87,4.18,0,0.01,0.01,0.01,1,1,13,40.8858039,-104.6377364,1671,2019,5,4,20,26,19,0,0,0,0,1.2,0.7,1,41,0,43,0,0,43,0,0,0,0,0,0,36,0,36,0,40,31,36,0,0,34,0,36,0,0,0,0,0,0,0,0
6,1257,17,KB0G,-0.27,3,   boost,-0.53,83115,1639.85,0.2,0,33,4.2,4.17,4.16,9.89,0.3,0.02,0.04,-0.07,-0.2,-0.05,-0.47,-0.04,1.87,4.18,0,0.01,0.01,0.01,1,1,13,40.8858039,-104.6377364,1671,2019,5,4,20,26,19,0,0,0,0,1.2,0.7,1,41,0,43,0,0,43,0,0,0,0,0,0,36,0,36,0,40,31,36,0,0,34,0,36,0,0,0,0,0,0,0,0
6,1257,17,KB0G,-0.26,3,   boost,-0.53,83132,1638.18,-1.47,0,33,4.2,4.17,4.16,9.91,0.36,0.11,-0.32,0.17,-0.14,-0.05,-0.47,-0.03,1.87,4.18,0,0.01,0.01,0.01,1,1,13,40.8858039,-104.6377364,1671,2019,5,4,20,26,19,0,0,0,0,1.2,0.7,1,41,0,43,0,0,43,0,0,0,0,0,0,36,0,36,0,40,31,36,0,0,34,0,36,0,0,0,0,0,0,0,0
6,1257,17,KB0G,-0.25,3,   boost,-0.53,83124,1638.97,-0.68,0,33,4.2,4.17,4.16,9.86,0.31,0.01,-0.63,0.05,0.04,-0.05,-0.47,-0.03,1.87,4.18,0,0.01,0.01,0.01,1,1,13,40.8858039,-104.6377364,1671,2019,5,4,20,26,19,0,0,0,0,1.2,0.7,1,41,0,43,0,0,43,0,0,0,0,0,0,36,0,36,0,40,31,36,0,0,34,0,36,0,0,0,0,0,0,0,0
6,1257,17,KB0G,-0.24,3,   boost,-0.53,83149,1636.52,-3.13,0,33,4.2,4.17,4.16,9.88,0.33,0.04,0.04,0.17,-0.2,-0.05,-0.47,-0.03,1.87,4.18,0,0.01,0.01,0.01,1,1,13,40.8858039,-104.6377364,1671,2019,5,4,20,26,19,0,0,0,0,1.2,0.7,1,41,0,43,0,0,43,0,0,0,0,0,0,36,0,36,0,40,31,36,0,0,34,0,36,0,0,0,0,0,0,0,0
6,1257,17,KB0G,-0.23,3,   boost,-0.53,83114,1639.94,0.29,0,33,4.2,4.17,4.16,9.9,0.32,0.08,0.1,-0.01,-0.2,-0.05,-0.47,-0.04,1.87,4.18,0,0.01,0.01,0.01,1,1,13,40.8858039,-104.6377364,1671,2019,5,4,20,26,19,0,0,0,0,1.2,0.7,1,41,0,43,0,0,43,0,0,0,0,0,0,36,0,36,0,40,31,36,0,0,34,0,36,0,0,0,0,0,0,0,0
6,1257,17,KB0G,-0.22,3,   boost,-0.53,83133,1638.09,-1.56,0,33,4.2,4.17,4.16,9.89,0.29,-0.06,-0.08,0.23,-0.2,-0.05,-0.47,-0.03,1.87,4.18,0,0.01,0.01,0.01,1,1,13,40.8858039,-104.6377364,1671,2019,5,4,20,26,19,0,0,0,0,1.2,0.7,1,41,0,43,0,0,43,0,0,0,0,0,0,36,0,36,0,40,31,36,0,0,34,0,36,0,0,0,0,0,0,0,0
6,1257,17,KB0G,-0.21,3,   boost,-0.53,83099,1641.41,1.76,0,33,4.2,4.17,4.16,9.87,0.3,0.09,0.04,0.11,-0.08,-0.05,-0.47,-0.04,1.87,4.18,0,0.01,0.01,0.01,1,1,13,40.8858039,-104.6377364,1671,2019,5,4,20,26,19,0,0,0,0,1.2,0.7,1,41,0,43,0,0,43,0,0,0,0,0,0,36,0,36,0,40,31,36,0,0,34,0,36,0,0,0,0,0,0,0,0
