#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 1257, 18,KB0G,    -0.30, 3,   boost,   -0.00,  73957.00, 2577.62,   -0.97,    0.00, 27.0, 4.21, 4.16, 4.17,   9.89,   0.49,   0.07,   0.23,   0.01,   0.31,  -0.08,  -0.22,  -0.20,   3.17, 4.36, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  39.0159236,-105.7107031,  2682.0, 2019,  5, 26, 16, 33, 11,        0,        0,   0,   0,   1.6,   0.8,   1.4, 38,  0,  0,  0,  0,  0, 44, 44, 40,  0, 42,  0, 35,  0,  0,  0, 38, 43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 1257, 18,KB0G,    -0.29, 3,   boost,   -0.00,  73958.00, 2577.52,   -1.07,    0.00, 27.0, 4.21, 4.16, 4.17,   9.87,   0.43,   0.04,  -0.26,   0.07,   0.31,  -0.08,  -0.22,  -0.20,   3.17, 4.36, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  39.0159236,-105.7107031,  2682.0, 2019,  5, 26, 16, 33, 11,        0,        0,   0,   0,   1.6,   0.8,   1.4, 38,  0,  0,  0,  0,  0, 44, 44, 40,  0, 42,  0, 35,  0,  0,  0, 38, 43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 1257, 18,KB0G,    -0.28, 3,   boost,   -0.00,  73953.00, 2578.05,   -0.54,    0.00, 27.0, 4.21, 4.16, 4.17,   9.91,   0.42,   0.11,  -0.75,   0.25,   0.19,  -0.08,  -0.22,  -0.20,   3.17, 4.36, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  39.0159236,-105.7107031,  2682.0, 2019,  5, 26, 16, 33, 11,        0,        0,   0,   0,   1.6,   0.8,   1.4, 38,  0,  0,  0,  0,  0, 44, 44, 40,  0, 42,  0, 35,  0,  0,  0, 38, 43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 1257, 18,KB0G,    -0.27, 3,   boost,   -0.00,  73938.00, 2579.67,    1.07,    0.00, 27.0, 4.21, 4.16, 4.17,   9.86,   0.43,   0.05,  -0.26,  -0.06,   0.19,  -0.09,  -0.22,  -0.20,   3.17, 4.36, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  39.0159236,-105.7107031,  2682.0, 2019,  5, 26, 16, 33, 11,        0,        0,   0,   0,   1.6,   0.8,   1.4, 38,  0,  0,  0,  0,  0, 44, 44, 40,  0, 42,  0, 35,  0,  0,  0, 38, 43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 1257, 18,KB0G,    -0.26, 3,   boost,   -0.00,  73968.00, 2576.44,   -2.15,    0.00, 27.0, 4.21, 4.16, 4.17,   9.94,   0.38,  -0.11,  -0.38,  -0.18,   0.31,  -0.08,  -0.22,  -0.20,   3.17, 4.36, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  39.0159236,-105.7107031,  2682.0, 2019,  5, 26, 16, 33, 11,        0,        0,   0,   0,   1.6,   0.8,   1.4, 38,  0,  0,  0,  0,  0, 44, 44, 40,  0, 42,  0, 35,  0,  0,  0, 38, 43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 1257, 18,KB0G,    -0.25, 3,   boost,   -0.00,  73952.00, 2578.16,   -0.43,    0.00, 27.0, 4.21, 4.16, 4.17,   9.85,   0.37,  -0.03,  -0.63,  -0.06,   0.50,  -0.08,  -0.23,  -0.20,   3.17, 4.36, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  39.0159236,-105.7107031,  2682.0, 2019,  5, 26, 16, 33, 11,        0,        0,   0,   0,   1.6,   0.8,   1.4, 38,  0,  0,  0,  0,  0, 44, 44, 40,  0, 42,  0, 35,  0,  0,  0, 38, 43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 1257, 18,KB0G,    -0.24, 3,   boost,   -0.00,  73946.00, 2578.81,    0.21,    0.00, 27.0, 4.21, 4.16, 4.17,   9.84,   0.39,  -0.03,  -0.69,   0.07,   0.13,  -0.08,  -0.22,  -0.20,   3.17, 4.36, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  39.0159236,-105.7107031,  2682.0, 2019,  5, 26, 16, 33, 11,        0,        0,   0,   0,   1.6,   0.8,   1.4, 38,  0,  0,  0,  0,  0, 44, 44, 40,  0, 42,  0, 35,  0,  0,  0, 38, 43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 1257, 18,KB0G,    -0.23, 3,   boost,   -0.00,  73952.00, 2578.16,   -0.43,    0.00, 27.0, 4.21, 4.16, 4.17,   9.92,   0.41,   0.04,   0.35,  -0.06,   0.62,  -0.08,  -0.22,  -0.19,   3.17, 4.36, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  39.0159236,-105.7107031,  2682.0, 2019,  5, 26, 16, 33, 11,        0,        0,   0,   0,   1.6,   0.8,   1.4, 38,  0,  0,  0,  0,  0, 44, 44, 40,  0, 42,  0, 35,  0,  0,  0, 38, 43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 1257, 18,KB0G,    -0.22, 3,   boost,   -0.00,  73966.00, 2576.66,   -1.93,    0.00, 27.0, 4.21, 4.16, 4.17,   9.89,   0.45,  -0.03,   0.23,   0.01,   0.68,  -0.08,  -0.23,  -0.20,   3.17, 4.36, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  39.0159236,-105.7107031,  2682.0, 2019,  5, 26, 16, 33, 11,        0,        0,   0,   0,   1.6,   0.8,   1.4, 38,  0,  0,  0,  0,  0, 44, 44, 40,  0, 42,  0, 35,  0,  0,  0, 38, 43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 1257, 18,KB0G,    -0.21, 3,   boost,   -0.00,  73951.00, 2578.27,   -0.32,    0.00, 27.0, 4.21, 4.16, 4.17,   9.86,   0.52,  -0.04,  -0.32,  -0.24,   0.74,  -0.08,  -0.22,  -0.19,   3.17, 4.36, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  39.0159236,-105.7107031,  2682.0, 2019,  5, 26, 16, 33, 11,        0,        0,   0,   0,   1.6,   0.8,   1.4, 38,  0,  0,  0,  0,  0, 44, 44, 40,  0, 42,  0, 35,  0,  0,  0, 38, 43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
