time,acceleration,pressure,altitude,height,speed,temperature,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,latitude,longitude,altitude
-0.3,0,98835,209.37,-1.36,0,38.2,9.86,-0.11,0.36,0.2,-0.03,0.1,0.23,0.07,0.18,1.6,45.5438795,-92.9300688,259
-0.29,0,98802,212.17,1.44,0,38.2,9.81,-0.03,0.29,0.02,0.09,0.04,0.23,0.09,0.19,1.6,45.5438795,-92.9300688,259
-0.28,0,98825,210.22,-0.51,0,38.2,9.87,0.02,0.18,0.14,0.09,0.04,0.23,0.09,0.18,1.6,45.5438795,-92.9300688,259
-0.27,0,98826,210.13,-0.59,0,38.1,9.89,-0.07,0.2,0.38,-0.09,-0.02,0.23,0.09,0.18,1.6,45.5438795,-92.9300688,259
-0.26,0,98822,210.47,-0.25,0,38.2,9.83,-0.11,0.27,0.38,0.09,-0.02,0.24,0.08,0.18,1.6,45.5438795,-92.9300688,259
-0.25,0,98828,209.96,-0.76,0,38.2,9.8,-0.04,0.26,0.81,-0.09,-0.02,0.23,0.09,0.18,1.6,45.5438795,-92.9300688,259
-0.24,0,98818,210.81,0.08,0,38.2,9.84,0.01,0.25,0.45,0.03,0.04,0.22,0.1,0.18,1.6,45.5438795,-92.9300688,259
-0.23,0,98819,210.73,0,0,38.2,9.84,0,0.31,0.51,-0.09,-0.14,0.23,0.07,0.18,1.6,45.5438795,-92.9300688,259
-0.22,0,98822,210.47,-0.25,0,38.2,9.85,-0.08,0.23,0.87,-0.03,-0.02,0.24,0.1,0.18,1.6,45.5438795,-92.9300688,259
-0.21,0,98805,211.91,1.19,0,38.2,9.85,-0.02,0.16,1.54,-0.15,-0.02,0.24,0.09,0.19,1.6,45.5438795,-92.9300688,259
-0.2,0,98830,209.79,-0.93,0,38.2,9.88,0.02,0.3,1.79,-0.09,-0.08,0.24,0.09,0.17,1.6,45.5438795,-92.9300688,259
-0.19,0,98810,211.49,0.76,0,38.2,9.88,0,0.3,2.03,-0.09,0.04,0.24,0.08,0.18,1.6,45.5438795,-92.9300688,259
