time,acceleration,pressure,altitude,height,speed,temperature,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,latitude,longitude,altitude
-0.3,0,96945,371.15,0,0,20.4,9.9,0.59,-0.46,0.21,0.05,0.05,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.29,0,96958,370.03,-1.12,0,20.4,9.88,0.64,-0.51,0.15,0.05,-0.01,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.28,0,96949,370.81,-0.35,0,20.4,9.89,0.68,-0.5,0.03,0.11,0.05,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.27,0,96956,370.2,-0.95,0,20.4,9.89,0.61,-0.52,0.21,0.11,-0.01,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.26,0,96943,371.33,0.17,0,20.4,9.9,0.61,-0.5,0.4,0.05,-0.01,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.25,0,96948,370.89,-0.26,0,20.4,9.94,0.61,-0.51,0.27,0.11,0.05,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.24,0,96942,371.41,0.26,0,20.4,9.88,0.6,-0.46,0.03,-0.01,0.11,-0.62,-0.06,-0.18,4.83,37.1668777,-97.738422,382
-0.23,0,96953,370.46,-0.69,0,20.4,9.9,0.63,-0.55,-0.15,-0.01,0.05,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.22,0,96944,371.24,0.09,0,20.4,9.86,0.57,-0.58,-0.09,-0.01,0.05,-0.62,-0.06,-0.16,4.83,37.1668777,-97.738422,382
-0.21,0,96945,371.15,0,0,20.4,9.88,0.66,-0.57,0.27,-0.07,0.05,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.2,0,96958,370.03,-1.12,0,20.4,9.92,0.64,-0.61,0.33,-0.07,0.18,-0.61,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.19,0,96946,371.07,-0.09,0,20.4,9.84,0.71,-0.54,0.27,-0.13,0.05,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.18,0,96949,370.81,-0.35,0,20.4,9.85,0.66,-0.6,-0.03,-0.19,0.05,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
-0.17,0,96956,370.2,-0.95,0,20.4,9.9,0.66,-0.57,-0.09,-0.19,-0.01,-0.62,-0.06,-0.17,4.83,37.1668777,-97.738422,382
